URL,Index,Rating,Time and Place,Review
https://www.amazon.in/Mobile-Tablet-Floor-Stand-Adjustable/product-reviews/B09W9TB4YR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1,5.0 out of 5 stars,Reviewed in India on 14 June 2024,"The media could not be loaded.
                



Size was perfect for my work,It's quality was excellent andIt's very portable"
https://www.amazon.in/Mobile-Tablet-Floor-Stand-Adjustable/product-reviews/B09W9TB4YR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2,4.0 out of 5 stars,Reviewed in India on 5 June 2024,The stand is so sturdy and very helpful and easy to use
https://www.amazon.in/Mobile-Tablet-Floor-Stand-Adjustable/product-reviews/B09W9TB4YR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3,5.0 out of 5 stars,Reviewed in India on 2 May 2024,Amazing stand and so strong
https://www.amazon.in/Mobile-Tablet-Floor-Stand-Adjustable/product-reviews/B09W9TB4YR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4,1.0 out of 5 stars,Reviewed in India on 8 December 2023,"This product is totally in usable on the day to day life,  especially while charging. Accident touch or hit will through your mobile especially IPhone users need more careful.Using this product just to keep the mobile stand where no one access that place is good usage.For my work style, I do work from home, I frequent take the mobile and new the message and take call. In this style of use, this product is totally worth less because u can accept call when the mobile oils on stand and u can’t text message while on stand. TL you need to take it and do your task which is not much comfortable. Due to slippery while picking the mobile from stand. Better keeping it on desk and taking is the most safest way.Good use of this product, only for watching movies. Not recommended for YouTube videos also."
https://www.amazon.in/Mobile-Tablet-Floor-Stand-Adjustable/product-reviews/B09W9TB4YR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5,3.0 out of 5 stars,Reviewed in India on 6 March 2024,"The media could not be loaded.
                



The stand is nice & sturdy. It's pretty nice to carry around wherever you want and to set it up. The only thing ( and the most important ) is that, the ipad holder came damaged. So, always have to use it in caution."
https://www.amazon.in/Mobile-Tablet-Floor-Stand-Adjustable/product-reviews/B09W9TB4YR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,6,5.0 out of 5 stars,Reviewed in India on 8 May 2024,"The metal parts are sturdy and the look is v cool. However the ball and socket joint cannot take the weight of my tablet which is a super slim ms surface pro 7 - just 12.3 inches. The tablet tilts forward and then shakes slightly with air pressure of an overhead fan. Even so, after some adjustments I was able to use it. Let's see what happens after a few months when the ball n socket joint is used for a bit."
https://www.amazon.in/Mobile-Tablet-Floor-Stand-Adjustable/product-reviews/B09W9TB4YR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,7,5.0 out of 5 stars,Reviewed in India on 29 May 2024,"Makes it so easy to watch movies on the iPad, no matter what seat you have or from the bed. Super sturdy. Also great help if you need to take family photographs and don't have a tripod to support your phone"
https://www.amazon.in/Mobile-Tablet-Floor-Stand-Adjustable/product-reviews/B09W9TB4YR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,8,4.0 out of 5 stars,Reviewed in India on 20 December 2023,"Nice product, finish slightly crude, but it works. It is not possible to lock the settings in the desired position. These tend to slip easily."
https://www.amazon.in/Mobile-Tablet-Floor-Stand-Adjustable/product-reviews/B09W9TB4YR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,9,4.0 out of 5 stars,Reviewed in India on 13 May 2024,What I ordered I received  without  any  defect
https://www.amazon.in/Mobile-Tablet-Floor-Stand-Adjustable/product-reviews/B09W9TB4YR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,10,4.0 out of 5 stars,Reviewed in India on 20 April 2024,It is very good it is better than I thought
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,1,1.0,"Jun 29, 2024",Rooms are untidy and staff are nit cooperative they don’t know how to talk overall its bad bad bad bad
